10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,8,10,10,5
10,9,10,8,9,10,10,9,10,4
10,10,10,10,9,10,10,10,10,9
10,9,10,9,8,10,9,9,10,2
10,9,10,10,9,10,10,10,10,4
10,10,10,10,10,10,10,10,10,10
10,8,10,9,8,10,8,9,9,5
10,10,10,10,9,10,10,10,10,10
10,10,10,9,10,10,10,10,10,8
10,9,10,9,9,10,9,10,10,5
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,9,10,9
10,10,10,8,9,10,10,10,10,7
10,8,10,8,8,10,8,8,10,8
10,10,10,8,9,10,10,10,10,10
10,10,10,8,8,10,10,10,10,10
10,10,10,9,10,10,10,10,10,8
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,5
