8,7,6,6,6,6,5,7,8,4
6,8,8,7,8,8,7,7,10,5
7,8,9,9,9,8,7,7,10,4
7,8,8,8,8,8,8,8,10,7
7,7,7,8,7,7,8,7,7,4
3,7,5,7,7,7,5,7,8,3
7,7,8,9,8,9,7,9,9,3
7,8,8,8,8,7,7,7,8,4
7,7,7,7,7,8,8,8,8,7
7,8,8,8,8,8,7,7,8,4
8,7,7,6,6,7,5,7,8,2
8,7,6,8,7,6,7,6,7,4
8,7,8,7,7,8,6,7,8,7
6,8,7,9,10,8,6,9,9,4
7,7,7,7,7,7,6,7,8,6
7,8,7,8,8,7,7,9,8,7
5,7,5,10,8,10,8,8,10,8
7,8,7,10,10,8,8,8,10,4
8,10,10,9,10,8,9,9,10,8
8,8,8,6,7,7,7,8,7,6
